seq_idx,row_index,mode,along_track_m,height_agl_m,runway_area_px,mask_iou_vs_gt,yaw_gt,lat_gt,yaw_est,lat_est,yaw_err_deg,lat_err_m,dice,n_coarse,n_refine,refine_method,init_yaw,init_lat
0,6,cold,4807.047720222587,287.0690817408,252.0,0.6532258064516129,-142.550224,40.16793467144851,-139.550224,70.1679346714485,3.0,29.999999999999993,2.625689872797225e-08,0,0,gd,-142.550224,40.16793467144851
1,7,cold,4726.594082977713,252.22963280160002,504.0,0.0,-144.529935,-226.65809690485517,-141.529935,-196.65809690485517,3.0,30.0,1.1960854776272081e-08,0,0,gd,-144.529935,-226.65809690485517
2,10,cold,4435.6800882995285,238.6237360104,264.0,0.0,-148.336806,-24.712904050474954,-145.336806,5.287095949525046,3.0,30.0,1.6732646374666874e-08,0,0,gd,-148.336806,-24.712904050474954
3,12,cold,3955.005668294659,176.1987099336,234.0,0.0,-150.387341,26.55495925155763,-147.387341,56.554959251557634,3.0,30.000000000000004,2.3032932795349276e-09,0,0,gd,-150.387341,26.55495925155763
4,13,cold,3917.910129833741,216.27775316880002,322.0,0.0,-137.259597,-44.984518476238215,-134.259597,-14.984518476238215,3.0,30.0,1.3974196711126838e-08,0,0,gd,-137.259597,-44.984518476238215
5,14,cold,3518.9385419033815,205.82017733520001,375.0,0.025560324272770624,-142.044427,-25.848923176561083,-139.044427,4.151076823438917,3.0,30.0,2.8651852449370235e-08,0,0,gd,-142.044427,-25.848923176561083
6,15,cold,3209.886283731933,174.20831960400002,400.0,0.6903409090909091,-143.710758,4.987755228685005,-140.710758,34.987755228685,3.0,30.0,1.6040995138145372e-08,0,0,gd,-143.710758,4.987755228685005
7,16,cold,2826.626055985027,176.5420247664,928.0,0.7191489361702128,-144.794881,-106.15864348135521,-141.794881,-76.15864348135521,3.0,30.0,1.6040180473765086e-08,0,0,gd,-144.794881,-106.15864348135521
8,17,cold,2811.314032383059,201.74839010160002,850.0,0.7258347978910369,-146.776377,57.89536949411933,-143.776377,87.89536949411934,3.0,30.000000000000007,1.1294077943516738e-08,0,0,gd,-146.776377,57.89536949411933
9,18,cold,2553.280732459901,156.011915052,780.0,0.75390625,-146.873217,49.224372669000765,-143.873217,79.22437266900076,3.0,29.999999999999993,1.1611142458768257e-08,0,0,gd,-146.873217,49.224372669000765
10,19,cold,2512.8361069744237,149.00900094000002,780.0,0.8036697247706422,-150.738416,58.95839758382066,-147.738416,88.95839758382067,3.0,30.000000000000007,1.071629745144492e-08,0,0,gd,-150.738416,58.95839758382066
11,21,cold,2293.3833137070255,166.5032307216,858.0,0.8097281831187411,-146.328371,2.116865623602407,-143.328371,32.11686562360241,3.0,30.0,8.149264173258638e-09,0,0,gd,-146.328371,2.116865623602407
12,22,cold,1737.6621024137887,98.781120192,957.0,0.8248587570621468,-142.979487,16.77431782540574,-139.979487,46.77431782540574,3.0,30.0,3.251706354973222e-05,0,0,gd,-142.979487,16.77431782540574
13,24,cold,1320.1128153159796,73.96328616,1512.0,0.8507462686567164,-147.012983,-28.495670935158252,-144.012983,1.5043290648417482,3.0,30.0,0.09337122360460756,0,0,gd,-147.012983,-28.495670935158252
14,25,cold,1287.7827180578097,79.12865464560001,2301.0,0.7747252747252747,-145.388988,68.65986301989663,-142.388988,98.65986301989663,3.0,30.0,0.05726199630086444,0,0,gd,-145.388988,68.65986301989663
15,27,cold,919.5996835510979,67.0391774784,3500.0,0.6677333333333333,-149.268512,45.65980843144796,-146.268512,75.65980843144797,3.0,30.000000000000007,0.13158879198648954,0,0,gd,-149.268512,45.65980843144796
16,28,cold,668.6212680812915,50.534531798399996,4424.0,0.7096327096327096,-136.839037,-26.06403128162125,-133.839037,3.9359687183787493,3.0,30.0,0.27866289589461923,0,0,gd,-136.839037,-26.06403128162125
17,29,cold,347.0205138533829,32.2471874232,11248.0,0.6125155408205554,-143.755015,11.78591956596462,-140.755015,41.78591956596462,3.0,30.0,0.5714046878595883,0,0,gd,-143.755015,11.78591956596462
