seq_idx,row_index,mode,along_track_m,height_agl_m,runway_area_px,mask_iou_vs_gt,yaw_gt,lat_gt,yaw_est,lat_est,yaw_err_deg,lat_err_m,dice,n_coarse,init_yaw,init_lat
0,6,cold,4807.047720222587,287.0690817408,252.0,0.6532258064516129,-142.550224,40.16793467144851,-141.550224,150.7929346714485,1.0,110.625,0.30819289586006665,639,-142.550224,40.16793467144851
1,7,cold,4726.594082977713,252.22963280160002,504.0,0.0,-144.529935,-226.65809690485517,-152.029935,-289.15809690485514,-7.5,-62.49999999999997,1.2289658568839638e-08,639,-144.529935,-226.65809690485517
2,10,cold,4435.6800882995285,238.6237360104,264.0,0.0,-148.336806,-24.712904050474954,-155.836806,-87.21290405047495,-7.5,-62.49999999999999,1.7627965579183864e-08,639,-148.336806,-24.712904050474954
3,12,cold,3955.005668294659,176.1987099336,234.0,0.0,-150.387341,26.55495925155763,-157.887341,-35.945040748442366,-7.5,-62.5,2.312315750515048e-09,639,-150.387341,26.55495925155763
4,13,cold,3917.910129833741,216.27775316880002,322.0,0.0,-137.259597,-44.984518476238215,-144.759597,-107.48451847623821,-7.5,-62.49999999999999,1.4726082201657062e-08,639,-137.259597,-44.984518476238215
5,14,cold,3518.9385419033815,205.82017733520001,375.0,0.025560324272770624,-142.044427,-25.848923176561083,-141.03899561503755,27.276076823438913,1.0054313849624634,53.125,0.02699367766051313,639,-142.044427,-25.848923176561083
6,15,cold,3209.886283731933,174.20831960400002,400.0,0.6903409090909091,-143.710758,4.987755228685005,-142.8257704276058,78.112755228685,0.8849875723942091,73.125,0.5120505126842162,639,-143.710758,4.987755228685005
7,16,cold,2826.626055985027,176.5420247664,928.0,0.7191489361702128,-144.794881,-106.15864348135521,-143.919881,-44.28364348135523,0.875,61.874999999999986,0.3794049318866903,639,-144.794881,-106.15864348135521
8,17,cold,2811.314032383059,201.74839010160002,850.0,0.7258347978910369,-146.776377,57.89536949411933,-146.151377,95.39536949411934,0.625,37.50000000000001,0.5740275221906037,639,-146.776377,57.89536949411933
9,18,cold,2553.280732459901,156.011915052,780.0,0.75390625,-146.873217,49.224372669000765,-147.748217,-5.150627330999242,-0.875,-54.37500000000001,0.6444992584489568,639,-146.873217,49.224372669000765
10,19,cold,2512.8361069744237,149.00900094000002,780.0,0.8036697247706422,-150.738416,58.95839758382066,-151.238416,21.45839758382067,-0.5,-37.49999999999999,0.6731430632206875,639,-150.738416,58.95839758382066
11,21,cold,2293.3833137070255,166.5032307216,858.0,0.8097281831187411,-146.328371,2.116865623602407,-145.828371,29.616865623602408,0.5,27.5,0.6940915787609335,639,-146.328371,2.116865623602407
12,22,cold,1737.6621024137887,98.781120192,957.0,0.8248587570621468,-142.979487,16.77431782540574,-142.354487,44.27431782540574,0.625,27.5,0.667919435623983,639,-142.979487,16.77431782540574
13,24,cold,1320.1128153159796,73.96328616,1512.0,0.8507462686567164,-147.012983,-28.495670935158252,-147.512983,-47.245670935158245,-0.5,-18.749999999999993,0.7470033850878659,639,-147.012983,-28.495670935158252
14,25,cold,1287.7827180578097,79.12865464560001,2301.0,0.7747252747252747,-145.388988,68.65986301989663,-145.04544610056362,76.15986301989663,0.3435418994363886,7.5,0.4657526257867447,639,-145.388988,68.65986301989663
15,27,cold,919.5996835510979,67.0391774784,3500.0,0.6677333333333333,-149.268512,45.65980843144796,-148.768512,54.40980843144797,0.5,8.750000000000007,0.3468752836635655,639,-149.268512,45.65980843144796
16,28,cold,668.6212680812915,50.534531798399996,4424.0,0.7096327096327096,-136.839037,-26.06403128162125,-136.58134974033288,-18.560179927202388,0.25768725966710804,7.503851354418863,0.5363116037445582,639,-136.839037,-26.06403128162125
17,29,cold,347.0205138533829,32.2471874232,11248.0,0.6125155408205554,-143.755015,11.78591956596462,-143.7600827991699,11.184594152555041,-0.005067799169921727,-0.6013254134095796,0.6921194442006754,639,-143.755015,11.78591956596462
