airport,runway,row_index,along_track_m,height_m,he_gt_deg,lat_gt_m,delta_he_deg,delta_lat_m,he_prior_deg,lat_prior_m,he_inj_deg,lat_inj_m,he_meas_deg,lat_meas_m,he_corr_deg,lat_corr_m,he_zero_deg,lat_zero_m,he_meas_minus_zero_deg,lat_meas_minus_zero_m
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-2.0,-20.0,2.565237558444488,-118.92486854217277,-1.9999999999999782,-20.0,-1.9999958780325926,-221.0056864120569,-1.9999958780325926,-19.937523991200976,-4.5653088389630625,-359.6654731506624,2.56531296093047,138.65978673860553
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-2.0,-10.0,2.565237558444488,-108.92486854217277,-1.9999999999999782,-10.0,-2.0000513860275078,-211.00668464470147,-2.0000513860275078,-9.932937231248246,-4.5653088389630625,-359.6654731506624,2.5652574529355547,148.65878850596096
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-2.0,0.0,2.565237558444488,-98.92486854217277,-1.9999999999999782,0.0,-1.9999756907798485,-201.0073380441154,-1.9999756907798485,0.058793216146341365,-4.5653088389630625,-359.6654731506624,2.565333148183214,158.65813510654704
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-2.0,10.0,2.565237558444488,-88.92486854217277,-1.9999999999999782,10.0,-2.0000387739751204,-191.00585731939174,-2.0000387739751204,10.066621119724175,-4.5653088389630625,-359.6654731506624,2.565270064987942,168.65961583127068
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-2.0,20.0,2.565237558444488,-78.92486854217277,-1.9999999999999782,20.0,-2.000049426792202,-181.0082732190304,-2.000049426792202,20.065277063990465,-4.5653088389630625,-359.6654731506624,2.5652594121708603,178.65719993163202
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-1.0,-20.0,3.5652375584444767,-118.92486854217277,-0.9999999999999898,-20.0,-1.0000293764639139,-120.50262424591119,-1.0000293764639139,-19.996013341610137,-4.5653088389630625,-359.6654731506624,3.5652794624991486,239.16284890475123
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-1.0,-10.0,3.5652375584444767,-108.92486854217277,-0.9999999999999898,-10.0,-0.9999983395367451,-110.50351646721512,-0.9999983395367451,-10.000025521206851,-4.5653088389630625,-359.6654731506624,3.5653104994263174,249.1619566834473
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-1.0,0.0,3.5652375584444767,-98.92486854217277,-0.9999999999999898,0.0,-0.9999867300276151,-100.50291241339156,-0.9999867300276151,-0.0005885024965976982,-4.5653088389630625,-359.6654731506624,3.5653221089354474,259.16256073727084
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-1.0,10.0,3.5652375584444767,-88.92486854217277,-0.9999999999999898,10.0,-1.0000146285637754,-90.50270162204826,-1.0000146285637754,10.002426763274158,-4.5653088389630625,-359.6654731506624,3.565294210399287,269.16277152861414
CYEG,20,0,5757.850702695551,298.43912633944365,4.565237558444466,-98.92486854217277,-1.0,20.0,3.5652375584444767,-78.92486854217277,-0.9999999999999898,20.0,-0.9999964079206052,-80.50243291069371,-0.9999964079206052,20.000863861397107,-4.5653088389630625,-359.6654731506624,3.5653124310424573,279.1630402399687
